well,chemical,gene,CTvalue,replicate
a1,mi,b-actin,18.13,7
b1,0.01umdeha,b-actin,18,7
c1,0.1umdeha,b-actin,18.01,7
d1,1umdeha,b-actin,18.04,7
e1,10umdeha,b-actin,17.77,7
f1,20umdeha,b-actin,17.94,7
a2,mi,b-actin,18.17,7
b2,0.01umdeha,b-actin,17.9,7
c2,0.1umdeha,b-actin,18.06,7
d2,1umdeha,b-actin,17.98,7
e2,10umdeha,b-actin,17.79,7
f2,20umdeha,b-actin,17.99,7
a3,mi,b-actin,17.92,7
b3,0.01umdeha,b-actin,17.79,7
c3,0.1umdeha,b-actin,17.89,7
d3,1umdeha,b-actin,17.83,7
e3,10umdeha,b-actin,17.62,7
f3,20umdeha,b-actin,17.95,7
a4,mi,fabp4,24.35,7
b4,0.01umdeha,fabp4,24.46,7
c4,0.1umdeha,fabp4,24.33,7
d4,1umdeha,fabp4,23.31,7
e4,10umdeha,fabp4,22.84,7
f4,20umdeha,fabp4,23.21,7
a5,mi,fabp4,24.36,7
b5,0.01umdeha,fabp4,24.28,7
c5,0.1umdeha,fabp4,24.11,7
d5,1umdeha,fabp4,23.3,7
e5,10umdeha,fabp4,22.71,7
f5,20umdeha,fabp4,23.06,7
a6,mi,fabp4,24.27,7
b6,0.01umdeha,fabp4,24.3,7
c6,0.1umdeha,fabp4,24.25,7
d6,1umdeha,fabp4,23.21,7
e6,10umdeha,fabp4,22.83,7
f6,20umdeha,fabp4,23.15,7
a7,mi,lpl,21.36,7
b7,0.01umdeha,lpl,21.26,7
c7,0.1umdeha,lpl,21.27,7
d7,1umdeha,lpl,20.99,7
e7,10umdeha,lpl,20.64,7
f7,20umdeha,lpl,21.05,7
a8,mi,lpl,21.57,7
b8,0.01umdeha,lpl,21.28,7
c8,0.1umdeha,lpl,21.32,7
d8,1umdeha,lpl,21.07,7
e8,10umdeha,lpl,20.71,7
f8,20umdeha,lpl,21.05,7
a9,mi,lpl,21.31,7
b9,0.01umdeha,lpl,21.24,7
c9,0.1umdeha,lpl,21.32,7
d9,1umdeha,lpl,21.01,7
e9,10umdeha,lpl,20.88,7
f9,20umdeha,lpl,21.07,7
a10,mi,plin,27.67,7
b10,0.01umdeha,plin,27.57,7
c10,0.1umdeha,plin,27.35,7
d10,1umdeha,plin,27.02,7
e10,10umdeha,plin,26.6,7
f10,20umdeha,plin,27.1,7
a11,mi,plin,27.58,7
b11,0.01umdeha,plin,27.74,7
c11,0.1umdeha,plin,27.63,7
d11,1umdeha,plin,27.25,7
e11,10umdeha,plin,26.78,7
f11,20umdeha,plin,26.86,7
a12,mi,plin,27.47,7
b12,0.01umdeha,plin,27.86,7
c12,0.1umdeha,plin,28.04,7
d12,1umdeha,plin,27.02,7
e12,10umdeha,plin,27.13,7
f12,20umdeha,plin,27.36,7
a1,mi,pparg,25.07,3
b1,0.01ummehp,pparg,24.8,3
c1,0.1ummehp,pparg,24.92,3
d1,1ummehp,pparg,24.58,3
e1,10ummehp,pparg,24.2,3
f1,20ummehp,pparg,23.49,3
a2,mi,pparg,24.93,3
b2,0.01ummehp,pparg,25.08,3
c2,0.1ummehp,pparg,24.75,3
d2,1ummehp,pparg,24.45,3
e2,10ummehp,pparg,24.12,3
f2,20ummehp,pparg,23.55,3
a3,mi,pparg,24.85,3
b3,0.01ummehp,pparg,24.81,3
c3,0.1ummehp,pparg,24.64,3
d3,1ummehp,pparg,24.46,3
e3,10ummehp,pparg,24.02,3
f3,20ummehp,pparg,23.46,3
a4,mi,pparg,25.26,4
b4,0.01ummehp,pparg,25.4,4
c4,0.1ummehp,pparg,25.1,4
d4,1ummehp,pparg,25.08,4
e4,10ummehp,pparg,24.69,4
f4,20ummehp,pparg,24.17,4
a5,mi,pparg,25.41,4
b5,0.01ummehp,pparg,25.28,4
c5,0.1ummehp,pparg,25.04,4
d5,1ummehp,pparg,25.19,4
e5,10ummehp,pparg,24.78,4
f5,20ummehp,pparg,24.09,4
a6,mi,pparg,25.37,4
b6,0.01ummehp,pparg,25.34,4
c6,0.1ummehp,pparg,25.28,4
d6,1ummehp,pparg,25.18,4
e6,10ummehp,pparg,24.77,4
f6,20ummehp,pparg,24.22,4
a7,mi,pparg,25.08,5
b7,0.01ummehp,pparg,25.08,5
c7,0.1ummehp,pparg,25.03,5
d7,1ummehp,pparg,24.86,5
e7,10ummehp,pparg,24.17,5
f7,20ummehp,pparg,23.84,5
a8,mi,pparg,25.12,5
